Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
439,4,0.9539,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['lihat', 'info', 'bagi', 'daerah', 'update', 'kondisi', 'kini', 'tangan', 'covid', 'number', 'aceh', 'jubir', 'media', 'radio', 'berita', 'online', 'baru', 'percaya']"
440,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['siram', 'pakai', 'air', 'biar', 'diam', 'fokus', 'lawan', 'covid', 'number']"
441,2,0.8905,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['ahli', 'komentar', 'covid', 'number', 'tik', 'tok', 'salah']"
442,0,0.9375,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['halo', 'teman', 'teman', 'loker', 'bantu', 'salah', 'alternatif', 'teman', 'teman', 'issue', 'covid', 'number', 'landa']"
443,1,0.9026,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['rakyat', 'tinggal', 'akibat', 'covid', 'number', 'number', 'orang', 'dhe']"
444,2,0.9124,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tips', 'ilmuwan', 'tingkat', 'kebal', 'tubuh', 'mari', 'lawan', 'covid', 'number']"
445,2,0.5174,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['lihat', 'number', 'orang', 'kena', 'covid', 'orang', 'situ', 'allcaps', 'odp', 'allcaps', 'karantina', 'isolasi']"
446,3,0.9326,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['hormat', 'leluhur', 'jepara', 'ritual', 'tahun', 'laku', 'perhati', 'protokol', 'sehat', 'cegah', 'covid', 'number']"
447,7,0.9562,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['beliau', 'rilis', 'youtube', 'pribadi', 'positif', 'covid', 'number', 'bangga', 'pilih', 'klarifikasi', 'kuat', 'berani', 'tunjuk', 'harap', 'alih', 'alih', 'putus', 'asa', 'puruk']"
448,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['sanes', 'na', 'laukdaun', 'we', 'lamun', 'tos', 'selesai', 'covid', 'number', 'na', 'wkwk']"
449,0,0.965,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['juru', 'bicara', 'umum', 'repeated', 'nominasi', 'harga', 'covid', 'number', 'asal', 'cluster', 'sebar', 'terima', 'kober', 'repeated', 'repeated', 'tonton', 'diam', 'panggung', 'deret', 'peti', 'mayat', 'bungkus', 'plastik', 'transparan']"
450,4,0.9663,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['ngikutin', 'twitnya', 'elisa', 'repeated', 'loh', 'iseng', 'ngitung', 'selisih', 'data', 'pemprov', 'gugus', 'covid', 'repeated', 'hasil', 'pemrov', 'tinggal', 'number', 'gugus', 'covid', 'number', 'repeated', 'iya', 'allah', 'bayang', 'repeated']"
451,4,0.9374,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['prasangka', 'allcaps', 'pspb', 'allcaps', 'allcaps', 'psbb', 'allcaps', 'mikir', 'covid', 'lawan', 'pakai', 'ajar', 'sejarah']"
452,6,0.9485,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['putus', 'sebar', 'covid', 'number', 'polsek', 'jatikalen', 'himbuan', 'warga', 'masyarakat', 'lindung', 'keluarga', 'rumah', 'sajatidak', 'mudik', 'piknik', 'panik']"
453,2,0.9698,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['iya', 'allaah', 'bimbing', 'cahaya', 'tuju', 'jadi', 'diri', 'tegak', 'hamba', 'sejati', 'hadap', 'iya', 'robb', 'lindung', 'selamat', 'akh', 'cela', 'tipu', 'daya', 'nafsu', 'hina', 'cela', 'moga', 'covid', 'number', 'engkau', 'angkat', 'negeri']"
454,0,0.8905,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['moga', 'virus', 'covid', 'number', 'musnah', 'negri', 'moga']"
455,2,0.9619,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['upaya', 'cegah', 'sebar', 'virus', 'corona', 'covid', 'number', 'bandar', 'udara', 'internasional', 'sultan', 'aji', 'muhammad', 'sulaiman', 'allcaps', 'sams', 'allcaps', 'pinggan', 'balikpapan', 'berita', 'lengkap', 'kunjung']"
456,3,0.9453,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['jumat', 'agung', 'selmat', 'ibadah', 'rumah', 'masing', 'kurang', 'makna', 'moga', 'wabah', 'covid', 'number', 'cepat', 'selesai', 'moga']"
457,2,0.9602,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['cegah', 'covid', 'number', 'serta', 'jajar', 'polsek', 'ranji', 'aksi', 'peduli', 'bagi', 'masker', 'gratis', 'guna', 'jalan', 'giat', 'polsek', 'ranji', 'kamis', 'number', 'number', 'febriputraguci']"
458,3,0.9698,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['pagi', 'repeated', 'iya', 'daerah', 'cipinang', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'prnh', 'aware', 'warga', 'bantu', 'transparansi', 'jadi', 'covid', 'jg', 'tindak', 'semprot', 'disinfektan', 'dbd', 'jg', 'fogging', 'uang', 'kas', 'jalan']"
459,6,0.9726,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['menteri', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'imbau', 'tolak', 'makam', 'jenazah', 'pasien', 'covid', 'number', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah']"
460,2,0.9676,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['hei', 'guys', 'ngajak', 'pandemik', 'covid', 'number', 'lekas', 'hilang', 'aamiingimana', 'repeated', 'rangin', 'nongki', 'halan', 'aktivitas', 'luar', 'ruang', 'ayo', 'ajar', 'utbk', 'tau', 'sendiri', 'saing', 'lo', 'buanyak', 'banget', 'yok']"
461,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['allcaps', 'dusta', 'allcaps', 'kisah', 'pilu', 'dokter', 'tangan', 'pasien', 'positif', 'covid', 'number']"
462,3,0.9203,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['khawatir', 'test', 'covid', 'number', 'menyeluruhtau', 'korban', 'geletak', 'mati', 'suspek', 'coronangeri']"
463,4,0.9124,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['kayak', 'saking', 'fokus', 'berita', 'covid', 'kerja', 'padahal', 'tanggal', 'merah']"
464,7,0.9726,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['berat', 'mbah', 'haid', 'ndang', 'mampet', 'jual', 'online', 'payu', 'payu', 'horny', 'sing', 'lanang', 'pusing', 'covid', 'masak', 'enak', 'berkat', 'enak', 'sariawan', 'loro', 'untu', 'putih', 'murus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dst', 'repeated']"
465,2,0.9485,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['amal', 'langkah', 'langkah', 'cegah', 'tular', 'allcaps', 'covid', 'allcaps', 'number', 'amal', 'hidup', 'hari', 'allcaps', 'sharing', 'is', 'allcaps']"
466,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bumi', 'repeated', 'maaf', 'repeated', 'sadar', 'repeated', 'kau', 'butuh', 'istirahat']"
467,3,0.9484,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['anggota', 'polsek', 'koba', 'himbau', 'pemuda', 'kumpul', 'kumpul', 'pulang', 'rumah', 'cegah', 'sebar', 'allcaps', 'covid', 'allcaps', 'number', 'repeated']"
468,0,0.9635,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['kopi', 'pagi', 'nikmat', 'kabar', 'baik', 'perintah', 'aceh', 'salur', 'bantu', 'pokok', 'masyarakat', 'dampak', 'covid', 'number', 'kriteria', 'terima', 'allcaps', 'pkh', 'allcaps', 'allcaps', 'bpnt', 'allcaps', 'syukur']"
469,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['sugeng', 'ambal', 'warso', 'repeated', 'bahgia', 'covid', 'atas', 'giat', 'repeated']"
470,3,0.9619,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['number', 'langkah', 'ambil', 'perintah', 'atas', 'dampak', 'covid', 'number', 'kerjasama', 'number', 'kumpul', 'data', 'sakit', 'mati', 'duduk', 'number', 'periksa', 'klinis', 'fisik', 'laboratorium', 'tega', 'diagnosis']"
471,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tips', 'ilmuwan', 'tingkat', 'kebal', 'tubuh', 'mari', 'lawan', 'covid', 'number', 'sistem', 'tahan', 'tubuh', 'mekanisme', 'efektif', 'jaga', 'tubuh', 'serang', 'sakit', 'via']"
472,3,0.9663,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['moga', 'sehat', 'jasmani', 'rohani', 'iya', 'dok', 'moga', 'lindung', 'allcaps', 'allah', 'swt', 'allcaps', 'hindar', 'fitnah', 'dajjal', 'aamiinmulut', 'senantiasa', 'berdzikir', 'insyaallah', 'mjdi', 'tameng', 'virus', 'covid', 'number', 'ikhtiar']"
473,0,0.9513,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['moga', 'sembuh', 'coba', 'lg', 'tulis', 'corona', 'tentara', 'allah', 'virus', 'kenal', 'sara', 'mari', 'doa', 'spy', 'wabah', 'moga', 'elongated']"
474,6,0.9635,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['sebab', 'pandemik', 'allcaps', 'covid', 'allcaps', 'number', 'penjara', 'sosial', 'norma', 'baharu', 'sekurang', 'nya', 'tempoh', 'sekurang', 'nya', 'kawal', 'pantau', 'batal', 'himpun', 'himpun', 'ramadan', 'aidilfitri', 'haji']"
475,1,0.6496,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['wujud', 'cinta', 'kasih', 'duka', 'warga', 'malu', 'tinggal', 'salah', 'putra', 'baik', 'malu', 'kaka', 'cinta', 'sadar', 'virus', 'covid', 'number', 'mana', 'ancam', 'takut', 'kalah', 'orang', 'duka', 'mohon', 'bully']"
476,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'number', 'milik', 'arti', 'co', 'corona', 'vi', 'virus', 'disease', 'sakit', 'angka', 'number', 'number', 'wakil', 'moga', 'puas', 'jwban', 'halo', 'luna']"
477,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['contoh', 'kondisi', 'terap', 'alat', 'kam', 'apotek', 'meminimalisir', 'tular', 'allcaps', 'covid', 'allcaps', 'number', 'kondisi', 'apotek', 'silah', 'share', 'tag', 'medsos', 'hashtag']"
478,5,0.8078,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['tunggu', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'reda', 'sabar', 'iya', 'selamat', 'orang']"
479,4,0.8905,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['koruptor', 'jahat', 'bebas', 'alas', 'pandemi', 'covid', 'number']"
480,5,0.9718,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['number', 'angkuh', 'sombong', 'mrasa', 'serba', 'bukankh', 'virus', 'corona', 'tingkat', 'tmpak', 'mata', 'tlah', 'mndidik', 'mncegahnya', 'jka', 'covid', 'number', 'dtang', 'mmpir', 'covid', 'number', 'mngenal', 'status', 'sosial', 'miskin', 'aau', 'kaya', 'tua', 'muda', 'pmbesar']"
481,4,0.8749,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['pandemi', 'corona', 'ancam', 'nasib', 'media', 'lokal']"
482,2,0.9326,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['info', 'gang', 'belah', 'rumah', 'lumajang', 'positif', 'covid', 'number', 'moga', 'keluarga', 'sana', 'aman']"
483,0,0.8748,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['anis', 'main', 'tiktok', 'syukur', 'kena', 'covid']"
484,4,0.6451,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['bentuk', 'dukung', 'tim', 'medis', 'juang', 'hadap', 'merawatpasien', 'covid', 'number', 'allcaps', 'fpi', 'allcaps', 'salur', 'bantu', 'allcaps', 'apd', 'allcaps', 'makan', 'minum', 'nutrisi', 'tim', 'medis']"
485,5,0.8904,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['kasihan', 'korban', 'covid', 'number', 'mohon', 'wargavideo', 'number']"
486,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tolak', 'warga', 'jenazah', 'awat', 'tangan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'rsup', 'allcaps', 'kariadi', 'semarang', 'lokasi', 'suwakul', 'ungar', 'video', 'number']"
487,4,0.9602,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['number', 'dampak', 'covid', 'number', 'kerjasama', 'number', 'kapasitas', 'awat', 'sehat', 'number', 'integrasi', 'bijak', 'bidang', 'sehat', 'ekonomi', 'makro', 'kerja', 'internasional', 'mitra', 'lintas', 'batas']"
488,5,0.9708,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['allcaps', 'putus', 'allcaps', 'yauntuk', 'putus', 'mata', 'rantai', 'allcaps', 'covid', 'allcaps', 'number', 'jaga', 'jarak', 'allcaps', 'masker', 'allcaps', 'rumahlindungi', 'diri', 'sekitar', 'jangkit', 'allcaps', 'covid', 'allcaps', 'number', 'mata_rantai', 'jaga_jarak', 'mata_rantai', 'mata_rantai', 'jaga_jarak']"
489,2,0.9485,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['banget', 'ngikutin', 'berita', 'covid', 'ruang', 'isolasi', 'enak', 'banget', 'astagfirullah', 'moga', 'virus', 'lenyap', 'bumi', 'ruang_isolasi', 'ruang_isolasi', 'ruang_isolasi']"
490,0,0.868,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bal', 'kini', 'date', 'efek', 'global', 'covid', 'number', 'simak', 'lengkap', 'video', 'link', 'youtube']"
491,2,0.9326,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'number', 'pulang', 'asal', 'repeated', 'smp', 'sabar', 'doa', 'moga', 'mudah', 'ustaz', 'fawwaz']"
492,2,0.9742,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'hms', 'allcaps', 'itenas', 'peduli', 'pandemi', 'covid', 'number', 'hadir', 'prihatin', 'sosial', 'indonesia', 'keluarga', 'allcaps', 'hms', 'allcaps', 'itenas', 'bandung', 'turun', 'tangan', 'bantu', 'manusia', 'ayo', 'donasi', 'dukung', 'lengkap', 'medis', 'tenaga', 'sehat', 'allcaps', 'covid', 'allcaps', 'number']"
493,0,0.9485,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['kemenkeuri', 'dipungkiri', 'aktivitas', 'ekonomi', 'kian', 'tekan', 'akibat', 'covid', 'number', 'orang', 'hilang', 'kerja', 'hasil', 'perintah', 'susun', 'strategi']"
494,2,0.9687,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['kamis', 'malam', 'dunia', 'ketuk', 'pintu', 'langit', 'munajat', 'doa', 'repeated', 'mohon', 'sang', 'khaliq', 'repeated', 'rayu', 'sang', 'maha', 'dengar', 'repeated', 'sang', 'maha', 'adiluntuk', 'selamat', 'dunia', 'wabah', 'covid', 'nu', 'ku']"
495,7,0.9375,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['jumaat', 'rindu', 'solat', 'jumaat', 'mudah', 'an', 'covid', 'number', 'pergi', 'mudah', 'an', 'peperangan', 'menang']"
496,4,0.9687,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['warga', 'kabupaten', 'lampung', 'utara', 'nyata', 'positif', 'papar', 'covid', 'number', 'karantina', 'komplek', 'islamic', 'center', 'kotabumi', 'repeated', 'plt', 'bupati', 'budi', 'utomo', 'ketua', 'tim', 'gugus', 'tugas', 'tanggulang', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
497,2,0.9374,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['presiden', 'langkah', 'serius', 'hadap', 'pandemi', 'covid', 'number', 'bom', 'orang', 'indonesia', 'diyerima', 'dunia', 'internasional']"
498,1,0.9649,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['korban', 'allcaps', 'phk', 'allcaps', 'rumah', 'akibat', 'sebar', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'ayo', 'daftar', 'kartu', 'allcaps', 'pra', 'kerja', 'allcaps', 'mudah', 'koq', 'repeated', 'daftar', 'website']"
499,4,0.9583,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'repeated', 'cuci_tangan', 'cuci_tangan']"
500,7,0.9649,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kapolrestabes', 'semarang', 'forkopimda', 'kota', 'semarang', 'himbauan', 'masyarakat', 'pakai', 'masker', 'jaga', 'bersih', 'rumah', 'putus', 'mata', 'rantai', 'sebar', 'virus', 'corona', 'covid', 'number', 'repeated', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
501,3,0.9416,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['nyai', 'baik', 'gitu', 'hibur', 'rumah', 'sehat', 'nyai', 'moga', 'alloh', 'lindung', 'jauh', 'wabah', 'covid', 'moga']"
502,7,0.9452,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kenal', 'lelah', 'tim', 'gugus', 'tugas', 'covid', 'number', 'semprot', 'mukim', 'padat', 'duduk', 'belawan', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
503,0,0.9735,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bahan', 'kempen', 'mahu', 'padam', 'da', 'repeated', 'release', 'padam', 'repeated', 'release', 'padam', 'repeated', 'dok', 'dendiam', 'wat', 'keje', 'orang', 'tingkat', 'nampak', 'takyah', 'wat', 'kempen', 'langsung', 'save', 'wang', 'raja', 'masuk', 'tabung', 'covid', 'number', 'tolong', 'rakyat']"
504,6,0.9619,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['surabaya', 'babinsa', 'koramil', 'tenggilis', 'mejoyo', 'upaya', 'laksana', 'sosialisasi', 'warga', 'masyarakat', 'redam', 'wabah', 'virus', 'corona', 'covid', 'number', 'kali', 'serma', 'siswono', 'sertu', 'supri', 'warsoyo']"
505,4,0.9562,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['pakai', 'masker', 'main', 'yoyo', 'mu', 'potret', 'sd', 'vita', 'school', 'pandemi', 'covid', 'number', 'budaya', 'masker', 'contact', 'us', 'cak', 'dolan', 'twitter']"
506,6,0.9326,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['cegah', 'virus', 'corona', 'covid', 'number', 'srikandi', 'polres', 'pasuruan', 'bagi', 'masker', 'masyarakat', 'repeated']"
507,1,0.9735,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['allcaps', 'allcaps', 'rezim', 'jkw', 'allcaps', 'remeh', 'allcaps', 'allcaps', 'tutup', 'allcaps', 'aman', 'turis', 'proyek', 'investor', 'allcaps', 'tka', 'allcaps', 'negara', 'cina', 'komunis', 'indonesia', 'allcaps', 'serang', 'allcaps', 'kuasa', 'gagap', 'cegah', 'kendali', 'lindung', 'rakyat', 'tular', 'mati']"
508,1,0.9649,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['indonesia', 'tegas', 'allcaps', 'dk', 'pbb', 'allcaps', 'tunjuk', 'satu', 'atas', 'dampak', 'allcaps', 'covid', 'allcaps', 'number', 'thdp', 'damai', 'aman', 'internasional', 'kerja', 'global', 'solidaritas', 'hindar', 'diskriminasi', 'stigmatisasi']"
509,5,0.8749,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['covid', 'syaitan', 'yela', 'kena', 'kurung', 'kurung']"
510,0,0.9717,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['allcaps', 'dprd', 'allcaps', 'kota', 'makassar', 'info', 'dprd', 'kotamakassar', 'perintah', 'makassar', 'realokasi', 'refocusing', 'anggar', 'number', 'milyar', 'tangan', 'dampak', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'kota', 'makassar', 'ketua', 'allcaps', 'dprd', 'allcaps', 'kota', 'makassar']"
511,2,0.8905,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'number', 'buka', 'jalan', 'damai', 'israel', 'palestina']"
512,1,0.9562,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['cegah', 'virus', 'covid', 'number', 'rajin', 'mandi', 'asa', 'tinggal', 'jg', 'rajin', 'mandi', 'bangun', 'tidur', 'sih', 'torus', 'mandi', 'lupa', 'gosok', 'biji']"
513,6,0.6388,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['covid', 'number', 'pergi', 'repeated', 'insyaallah', 'rana', 'manusia', 'rukuk', 'allah', 'bayi', 'susu', 'burung', 'haiwan', 'cari', 'makan', 'hidup', 'ustaz', 'fawwaz']"
514,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['maret', 'gegara', 'sih', 'covid', 'batal', 'play', 'list', 'film']"
515,0,0.9326,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['siap', 'rp', 'miliar', 'tangan', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'pemkot', 'cilegon', 'transparan']"
516,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['kaur', 'perintah', 'desa', 'hidayat', 'himbau', 'warga', 'tunda', 'mudik', 'cegah', 'covid', 'number']"
517,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['cepat', 'pergi', 'corona', 'covid', 'number', 'rindu', 'aktivitas', 'pergi', 'mana', 'ngerasa', 'cemas']"
518,3,0.9539,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['santai', 'banget', 'tmnnya', 'asyik', 'materi', 'nya', 'rumit', 'bayang', 'iya', 'number', 'number', 'materi', 'nyebelin', 'naudzubillah', 'semester', 'grgr', 'covid', 'wkwk']"
519,2,0.8748,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['cuba', 'kena', 'covid', 'number', 'tau', 'kebal']"
520,1,0.554,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['tingkat', 'mati', 'rokok', 'covid', 'number', 'kali']"
521,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['moga', 'wabah', 'covid', 'number', 'cepat', 'biar', 'hidup', 'jalan', 'normal', 'jaga', 'sehat']"
522,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['pulak', 'kena', 'covid', 'huhu', 'oh', 'lupa', 'muda', 'tiada', 'sakit']"
523,2,0.9538,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['orang', 'nolak', 'jenazah', 'allcaps', 'pdp', 'allcaps', 'positif', 'covid', 'number', 'otak', 'goblobanget', 'hati', 'wtf', 'benci', 'banget', 'kasihan', 'bego', 'elongated']"
524,2,0.8249,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['temas', 'yok', 'covid', 'var']"
525,6,0.9687,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['roger', 'roger', 'labuanfm', 'pagi', 'allcaps', 'mej', 'allcaps', 'zico', 'bin', 'sual', 'pegawai', 'tahan', 'awam', 'daerah', 'wp', 'labu', 'topik', 'tugas', 'cabar', 'allcaps', 'apm', 'allcaps', 'tangan', 'covid', 'number', 'number', 'pagi']"
526,6,0.4999,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['iya', 'nak', 'raya', 'fikir', 'langsung', 'kot', 'aduh', 'elongated', 'harap', 'cepat', 'sembuh', 'covid', 'number', 'cepat', 'cepat', 'hilang']"
527,3,0.9602,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['infeksi', 'coviddiberikan', 'stempel', 'allcaps', 'rfid', 'allcaps', 'diskriminasi', 'potensi', 'kambuh', 'repeated', 'kesehatanatau', 'paru', 'rusak', 'repeated', 'kayak', 'bourne', 'identity', 'chipstay', 'censored', 'safe', 'healthy']"
528,5,0.9203,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['makasih', 'iya', 'moga', 'allcaps', 'wni', 'allcaps', 'cerdas', 'sikap', 'covid', 'number']"
529,6,0.965,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['number', 'suruh', 'covid', 'number', 'pergi', 'number', 'pakai', 'minim', 'ketat', 'umbar', 'aurat', 'covid', 'number', 'didik', 'pakai', 'serba', 'tutup', 'agama', 'samawi', 'mulia', 'pakai', 'rapih', 'bersih', 'sopan']"
530,2,0.9539,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['new', 'post', 'bahas', 'kesiap', 'daerah', 'tangan', 'covid', 'number', 'walikota', 'parepare', 'vidcon', 'kemendagri', 'has', 'been', 'published', 'on', 'baca', 'pesan']"
531,0,0.854,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['hadiah', 'kau', 'sangkut', 'covid', 'number']"
532,0,0.9326,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['sinar', 'mas', 'land', 'all', 'out', 'bantu', 'rang', 'virus', 'corona', 'covid', 'number', 'indonesia']"
533,5,0.8905,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['operasi', 'selamat', 'tinombala', 'covid', 'number', 'polres', 'touna']"
534,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'to', 'huni', 'bumi', 'ngapasi', 'allcaps', 'zhombong', 'allcaps']"
